X,Y,fid,k_factor_aligned,soil_loss_4326,lulc_chennai_clip_aligned,slope_chennai_clip_aligned,ndvi_chennai_clip_aligned,dem_chennai_clip_aligned
80.2377622222408,13.1311066410906,1,0.01416,0,50,87.4974,0.18389,8.21053
80.2397595256057,13.1311066410906,2,0.01416,8.90493,50,89.9752,0.15758,8.52639
80.2417568289707,13.1311066410906,3,0.01416,5.35497,50,89.97631,0.13029,9.37938
80.2437541323356,13.1311066410906,4,0.01416,0,50,87.61068,0.10638,9.26521
80.2457514357005,13.1311066410906,5,0.01416,0,0,26.46518,0.02242,1.90087
80.2357649188759,13.1291093377256,6,0.01416,0,10,89.09293,0.30187,12.10147
80.2377622222408,13.1291093377256,7,0.01416,0,50,89.97797,0.25006,10.62229
80.2397595256057,13.1291093377256,8,0.01416,9.01046,50,89.97373,0.14034,9.21628
80.2417568289707,13.1291093377256,9,0.01416,4.96898,50,89.97633,0.13514,9.61294
80.2437541323356,13.1291093377256,10,0.01416,0,50,87.95924,0.15036,8.62267
80.2457514357005,13.1291093377256,11,0.01416,0,0,32.27461,0.0365,2.10273
80.2297730087811,13.1271120343607,12,0.01416,0,50,77.84918,0.09472,7.67095
80.231770312146,13.1271120343607,13,0.01416,0,50,86.67159,0.16349,10.11741
80.233767615511,13.1271120343607,14,0.01416,0,10,89.84259,0.325,12.67421
80.2357649188759,13.1271120343607,15,0.01416,0,10,89.98833,0.32066,12.86298
80.2377622222408,13.1271120343607,16,0.01416,0,50,89.98081,0.24844,10.99019
80.2397595256057,13.1271120343607,17,0.01416,8.64309,10,89.98067,0.24348,10.21349
80.2417568289707,13.1271120343607,18,0.01416,4.341,50,89.97787,0.15526,9.6658
80.2437541323356,13.1271120343607,19,0.01416,0,50,89.72784,0.18877,8.76916
80.2457514357005,13.1271120343607,20,0.01416,0,50,78.85551,0.13621,7.03633
80.2677217727148,13.1271120343607,21,0.01416,0,80,80.47031,0.23171,2.93012
80.2697190760797,13.1271120343607,22,0.01416,0,50,81.5778,0.18351,4.84389
80.2717163794446,13.1271120343607,23,0.01416,0,50,89.58533,0.12101,5.91719
80.2737136828096,13.1271120343607,24,0.01416,0,50,89.97574,0.11423,5.82898
80.2757109861745,13.1271120343607,25,0.01416,0,50,89.97828,0.19839,6.26197
80.2777082895394,13.1271120343607,26,0.01416,0,50,89.10331,0.16382,6.81102
80.2797055929044,13.1271120343607,27,0.01416,0,50,87.88431,0.19172,4.96025
80.2817028962693,13.1271120343607,28,0.01416,0,50,85.4838,0.15322,4.71823
80.2837001996342,13.1271120343607,29,0.01416,0,50,82.36565,0.09712,5.51094
80.2856975029992,13.1271120343607,30,0.01416,0,50,79.19371,0.11738,7.01023
80.2876948063641,13.1271120343607,31,0.01416,0,50,74.34519,0.09542,7.76081
80.289692109729,13.1271120343607,32,0.01416,0,50,68.87654,0.07535,7.37073
80.231770312146,13.1251147309958,34,0.01416,0,50,89.9631,0.16641,11.96584
80.233767615511,13.1251147309958,35,0.01416,0,50,89.98096,0.25168,13.08284
80.2357649188759,13.1251147309958,36,0.01416,0,10,89.98488,0.27011,12.04685
80.2377622222408,13.1251147309958,37,0.01416,0,50,89.98328,0.21268,11.0775
80.2397595256057,13.1251147309958,38,0.01416,8.67961,10,89.98436,0.32203,12.54225
80.2417568289707,13.1251147309958,39,0.01416,6.70904,10,89.97907,0.23609,9.9545
80.2437541323356,13.1251147309958,40,0.01416,1.24793,10,89.97787,0.21452,8.55275
80.2457514357005,13.1251147309958,41,0.01416,0,50,89.97605,0.15389,8.60248
80.2477487390655,13.1251147309958,42,0.01416,0,50,89.92856,0.13148,7.9049
80.2497460424304,13.1251147309958,43,0.01416,0,50,89.29897,0.13635,6.95179
80.2517433457953,13.1251147309958,44,0.01416,0,50,88.1787,0.13099,7.21062
80.2537406491603,13.1251147309958,45,0.01416,0,50,86.34811,0.11349,7.3582
80.2557379525252,13.1251147309958,46,0.01416,0,50,83.3001,0.11472,7.37499
80.2577352558901,13.1251147309958,47,0.01416,0,50,79.45381,0.08158,7.14028
80.2597325592551,13.1251147309958,48,0.01416,0,50,75.65729,0.08414,6.31942
80.26172986262,13.1251147309958,49,0.01416,0,10,75.97681,0.10578,6.43407
80.2637271659849,13.1251147309958,50,0.01416,0,50,87.9436,0.12454,7.57145
80.2657244693498,13.1251147309958,51,0.01416,0,50,89.9688,0.17128,6.03795
80.2677217727148,13.1251147309958,52,0.01416,0.26023,40,78.69009,0.33849,2.83702
80.2697190760797,13.1251147309958,53,0.01416,0.26241,10,77.53294,0.34508,2.38002
80.2717163794446,13.1251147309958,54,0.01416,0,40,89.96575,0.18022,3.58108
80.2737136828096,13.1251147309958,55,0.01416,0,50,89.96602,0.10374,6.69283
80.2757109861745,13.1251147309958,56,0.01416,0,50,89.9769,0.16008,6.86071
80.2777082895394,13.1251147309958,57,0.01416,0,50,89.97865,0.19324,6.64218
80.2797055929044,13.1251147309958,58,0.01416,0,50,89.97643,0.23874,5.78019
80.2817028962693,13.1251147309958,59,0.01416,0,10,89.97449,0.2279,6.94889
