X,Y,fid,lulc_chennai_clip_aligned,slope_chennai_clip_aligned,ndvi_chennai_clip_aligned,dem_chennai_clip_aligned,k_factor_chennai_aligned,annual_rainfall_mm
80.2385187109998,13.130818611,103,50,87.4974,0.18389,8.21053,0.01416,1179.76125
80.2405187109998,13.130818611,104,50,89.9752,0.15758,8.52639,0.01416,1179.76125
80.2425187109998,13.130818611,105,50,89.97631,0.13029,9.37938,0.01416,1179.76125
80.2445187109998,13.130818611,106,50,87.61068,0.10638,9.26521,0.01416,1179.76125
80.2385187109998,13.128818611,171,50,89.97797,0.25006,10.62229,0.01416,1179.76125
80.2405187109998,13.128818611,172,50,89.97373,0.14034,9.21628,0.01416,1179.76125
80.2425187109998,13.128818611,173,50,89.97633,0.13514,9.61294,0.01416,1179.76125
80.2445187109998,13.128818611,174,50,87.95924,0.15036,8.62267,0.01416,1179.76125
80.2365187109998,13.126818611,238,10,89.98833,0.32066,12.86298,0.01416,1179.76125
80.2385187109998,13.126818611,239,50,89.98081,0.24844,10.99019,0.01416,1179.76125
80.2405187109998,13.126818611,240,10,89.98067,0.24348,10.21349,0.01416,1179.76125
80.2425187109998,13.126818611,241,50,89.97787,0.15526,9.6658,0.01416,1179.76125
80.2445187109998,13.126818611,242,50,89.72784,0.18877,8.76916,0.01416,1179.76125
80.2325187109999,13.124818611,304,50,89.9631,0.16641,11.96584,0.01416,1179.76125
80.2345187109999,13.124818611,305,50,89.98096,0.25168,13.08284,0.01416,1179.76125
80.2365187109998,13.124818611,306,10,89.98488,0.27011,12.04685,0.01416,1179.76125
80.2385187109998,13.124818611,307,50,89.98328,0.21268,11.0775,0.01416,1179.76125
80.2405187109998,13.124818611,308,10,89.98436,0.32203,12.54225,0.01416,1179.76125
80.2425187109998,13.124818611,309,10,89.97907,0.23609,9.9545,0.01416,1179.76125
80.2445187109998,13.124818611,310,10,89.97787,0.21452,8.55275,0.01416,1179.76125
80.2465187109998,13.124818611,311,50,89.97605,0.15389,8.60248,0.01416,1179.76125
80.2665187109998,13.124818611,321,50,89.9688,0.17128,6.03795,0.01416,1179.76125
80.2685187109998,13.124818611,322,40,78.69009,0.33849,2.83702,0.01416,1179.76125
80.2705187109998,13.124818611,323,10,77.53294,0.34508,2.38002,0.01416,1179.76125
80.2725187109998,13.124818611,324,40,89.96575,0.18022,3.58108,0.01416,1179.76125
80.2745187109998,13.124818611,325,50,89.96602,0.10374,6.69283,0.01416,1179.76125
80.2765187109998,13.124818611,326,50,89.9769,0.16008,6.86071,0.01416,1179.76125
80.2785187109997,13.124818611,327,50,89.97865,0.19324,6.64218,0.01416,1179.76125
80.2805187109997,13.124818611,328,50,89.97643,0.23874,5.78019,0.01416,1179.76125
80.2825187109997,13.124818611,329,10,89.97449,0.2279,6.94889,0.01416,1179.76125
80.2845187109997,13.124818611,330,50,89.98125,0.1431,8.06253,0.01416,1179.76125
80.2865187109997,13.124818611,331,50,89.98354,0.14378,9.97948,0.01416,1179.76125
80.2885187109997,13.124818611,332,50,89.98203,0.10808,11.01821,0.01416,1179.76125
80.2945187109997,13.124818611,335,50,89.97811,0.1077,10.19913,0.01416,1179.76125
80.2325187109999,13.122818611,372,50,89.96532,0.15672,11.79801,0.01416,1179.76125
